mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_model__alpha;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
7.850423383712768;0.10113267410660007;0.42765488624572756;0.004206919712194505;3.3858990780312515;{'model__alpha': 3.3858990780312515};-11.503057587294073;-11.512627710155;-11.484462148374934;-11.498575241103614;-11.492264509729335;-11.498197439331392;0.009548343937693392;1
7.66456151008606;0.03677510225774116;0.4139082431793213;0.010028701646748904;10.096974838410642;{'model__alpha': 10.096974838410642};-11.503057725567944;-11.512627723782014;-11.48446211531394;-11.498575409896311;-11.492264224648194;-11.49819743984168;0.009548408408905891;3
7.012974452972412;1.3075126021350552;0.3847383499145508;0.059679065353813704;5.034828102570066;{'model__alpha': 5.034828102570066};-11.503057621211045;-11.512627713446136;-11.484462140195824;-11.49857528251953;-11.492264439626515;-11.498197439399812;0.009548359777955606;2
